categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
tazomoka,Misy tazomoka ary malaina mihinana be aho,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,misy tazomoka ary malaina mihinana be aho tazo avy amin ny kaikitry ny moka
tazo,Inona no atao raha tazo mahery no mahazo ahy hatramin ny omaly hatramin ny omaly?,Paracétamol 1000 mg : isaky ny 6 ora raha 38.5 degre mihoatra,ORS : misotroa betsaka rehefa mangovitra,Matoria tsara ary miala manaova mafana tsara,tazo,inona no atao raha tazo mahery no mahazo ahy hatramin ny omaly hatramin ny omaly manavy mafana mamay
aretin-tongotra,Misy fanaintainana be eo amin ny lohalika hatramin'ny 9 ora,Kétoprofène 100 mg : 2x/andro mandritra ny 5 andro,Ibuprofène gel : mametraka 2x/andro,Mitsahara ary asio ranomandry raha mivonto ary ataovy madio ny tongotra,aretin-tongotra,misy fanaintainana be eo amin ny lohalika hatramin'ny ora marary manaintaina mangirifiry tongotra tongotro ratsan-tongotra
fiakaran-ny-tosi-dra,Misy hypertension ary mivonto ny tongotrako hatramin'ny alina,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,misy hypertension ary mivonto ny tongotrako hatramin'ny alina tsindry tosi-dra
tazomoka,Voan ny tazoùoka mahery sy mafana ary mandoa be aho efa 6 andro lasa izay inona ny tokony hatao?,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,voan ny tazouoka mahery sy mafana ary mandoa be aho efa andro lasa izay inona ny tokony hatao tazo manavy mamay
kohaka,Mikohaka ary tsy mahazo aina tsara aho hatramin'ny alina,Ambroxol sirop : 3x/andro mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,kohaka,mikohaka ary tsy mahazo aina tsara aho hatramin'ny alina kohaka
aretin-pivalanana,Mandrevo be ary misy nausée aho hatramin'ny 9 ora,Racécadotril 100 mg : 3x/andro mandritra ny 5 andro,Paracétamol 500 mg : 3x/andro raha misy tazo,Mihinana vary fotsy sy akondro ary misotroa rano betsaka,aretin-pivalanana,mandrevo be ary misy nausee aho hatramin'ny ora mivalanana mivalan-tay
aretin-tsaina,Tsy mety tsara ny saiko efa 6 andro lasa izay,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Valériane : 1x/andro (hariva),Ahenao ny fampiasana solosaina sy finday amin ny alina,aretin-tsaina,tsy mety tsara ny saiko efa andro lasa izay saina kivy
aretim-po,Inona no atao raha misy aretin-po ary reraka be hatramin ny omaly?,Aspirin 75 mg : 1x/andro (maraina) tsy tapaka,Amlodipine 5 mg : 1x/andro (maraina),Mila mampihena ny stress ary aza miasa be loatra,aretim-po,inona no atao raha misy aretin-po aretin po ary reraka be hatramin ny omaly
aretim-po,Mangorakoraka mafy ny foko hatramin'ny alina,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Amlodipine 5 mg : 1x/andro (maraina),Manao fitiliana ny foko matetika,aretim-po,mangorakoraka mafy ny foko hatramin'ny alina fo
aretin-tenda,Marary tenda aho rehefa mitelina hatramin'ny 9 ora,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,marary tenda aho rehefa mitelina hatramin'ny ora manaintaina mangirifiry fanaintainana tendako tendany marary tenda
aretin-pivalanana,Mandrevo be ary very hery aho hatramin'ny 9 ora,ORS : misotroa isaky ny mandrevo,Smecta : 3 sachets isan andro,Mihinana vary fotsy sy akondro ary misotroa rano betsaka,aretin-pivalanana,mandrevo be ary very hery aho hatramin'ny ora mivalanana mivalan-tay
aretin-tsaina,Very ny finiavako tia miasa,Alprazolam : 1x/andro (hariva) mandritra ny 15 andro,Mélatonine 5 mg : 1x/andro (hariva),Manao yoga na meditation isan andro 15 minitra,aretin-tsaina,very ny finiavako tia miasa
aretin-doha,Misy tsindry eo amin ny lohako hatramin ny omaly,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Paracétamol 500 mg : 3x/andro raha ilaina,Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,misy tsindry eo amin ny lohako hatramin ny omaly tosi-dra hypertension loha lohany
