categorie,texte,medicament1,medicament2,astuce
aretin-doha,Marary ny lohako indrindra rehefa maraina vao mifoha,Parac�tamol 500 mg : 3x/andro (maraina-midi-hariva) mandritra ny 5 andro,Ibuprof�ne 400 mg : 2x/andro (maraina-hariva) mandritra ny 5 andro,Misotroa rano betsaka ary matory ampy 7-8 ora isan'alina
aretin-doha,Misy fanerena mafy eo amin'ny handrina sy ny tendron-doha ka tsy mahita tsara ny maso,Aspirine 500 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Parac�tamol 1000 mg : 2x/andro (maraina-hariva),Aza mijery efijery ela loatra ary mial� sasatra isaky ny 30 minitra
aretin-doha,Miverimberina ny aretin-doha isan-kerinandro mandritra ny volana maro tsy misy fiatoana,Amitriptyline : 1x/andro (hariva) mandritra ny 3 volana,Topiramate : 2x/andro (maraina-hariva) mandritra ny 3 volana,Tandremo ny sakafo ataonao ary soraty izay mahatonga ny aretin-doha miverimberina
aretin-doha,Miharatsy ny aretin-doha rehefa mijoro na mihetsika fa mihatsara rehefa mipetraka na mandry,Nadolol : 1x/andro (maraina) tsy tapaka,Propranolol : 1x/andro (maraina) tsy tapaka,Mial� sasatra amin'ny toerana mangina sy maizina ary aza manao asa mavesatra
aretin-doha,Misy toerana mipoitra eo amin'ny loha toy ny misy fantsika manindry manindry,Sumatriptan : raha misy fanafihana,Naprox�ne : 2x/andro (maraina-hariva),Aza miandry ela raha mahatsapa ny soritr'aretina voalohany
aretin-doha,Marary ny tapany ankavanan'ny loha miaraka amin'ny fivalozana sy ny fahatsapana ho marary maso,Sumatriptan : 1x/andro raha ilaina,Parac�tamol : 3x/andro,Matory amin'ny efitra maizina sy mangina ary asio ranomandry eo amin'ny handrina
aretin-doha,Toy ny misy fehikibo manery ny loha manodidina ny handrina ka maharary mandritra ny ora maromaro,Ibuprof�ne : 2x/andro (maraina-hariva),Caf�ine : indraindray,Misotroa kafe kely raha tsy misy fanoherana ary manao fanorana malefaka eo amin'ny tendany
aretin-doha,Mavesatra ny lohako aorian'ny fijerena solosaina na finday na tele mandritra ny ora maro,Parac�tamol : 2x/andro (maraina-hariva),Ibuprof�ne : 2x/andro (maraina-hariva),Manitsy ny fipetrahan'ny maso amin'ny efijery ary mampiasa solomaso manara-maso
aretin-doha,Marary loha vokatry ny tsy fahampian-tory nandritra ny alina maro,Parac�tamol : 3x/andro (maraina-midi-hariva),Caf�ine : indray mandeha maraina,Matory aloha ary manao torimaso maharitra 7-8 ora
aretin-doha,Mararya ny lohako sy ny tendako miaraka amin'ny tazo kely,Parac�tamol : 3x/andro (maraina-midi-hariva) mandritra ny 3 andro,Ibuprof�ne : 2x/andro (maraina-hariva),Misotroa rano mafana misy voasarimakirana sy tantely
areti-maso,Mena sy mamontsina ny masoko ary misy ranomaso be tsy mitsahatra,Collyre antibiotique : 4x/andro (maraina-midi-hariva-alina) mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Tazomy madio ny tananao ary aza mikasika ny maso raha tsy vita sasana tanana
